Replication #,Throughput,Workstation 1 Busy Prob,Workstation 2 Busy Prob,Workstation 3 Busy Prob,Inspector 1 Blocked Prob,Inspector 2 Blocked Prob,Buffer 1 Occupancy Average,Buffer 2 Occupancy Average,Buffer 3 Occupancy Average,Buffer 4 Occupancy Average,Buffer 5 Occupancy Average
1,0.097,0.1977944940210303,0.273460218106094,0.23946608157239993,0.0,0.08491761204472709,0.026074004115838628,1.1057667905485729,1.0338059711874434,0.36967735279467806,0.3574319810416353
2,0.096,0.1975415224534895,0.2396522094902664,0.2545492828518595,0.0076845755698631895,0.10872600228300223,0.06743498672589882,0.981384334673734,0.937044170566499,0.4467499873723944,0.431006976251272
3,0.09866666666666667,0.20791103923100798,0.29047592706301617,0.2615665555484786,0.0001365912135417299,0.09085843080886952,0.0286153683035058,1.0459016171325353,0.8223037558543127,0.40274804206044895,0.578119389927225
4,0.1,0.22961791521694425,0.2570033929432456,0.2725596267904795,0.0008585835721274483,0.08830754699854038,0.05389331948431029,1.0671566946482673,1.0734709388348436,0.4402366606413372,0.34492918142158
5,0.09216666666666666,0.19571373217965765,0.2294058154911087,0.21826067462026852,0.011213583663985218,0.09961689002753636,0.08699023112742892,1.166610150173049,0.9194286365610206,0.1766790463872275,0.5659468990494582
6,0.0955,0.20210086324298276,0.2400731375937003,0.24391230373711922,0.0001857292503740003,0.087266259039469,0.033867172381380616,0.9504480651055983,0.8739237491677301,0.40067519466905804,0.3487157060014847
7,0.10116666666666667,0.21806451873439528,0.26427968391434814,0.21876575275210258,0.005676573367043981,0.0866530515375537,0.07188953038650708,1.1631888292302792,1.1907106512542296,0.33910195326974546,0.3793160641638003
8,0.09733333333333333,0.1828093943650187,0.2751145571623217,0.21096888609742026,0.0035646728699872104,0.10840971323341343,0.040707539418943305,1.1041932825962095,0.7291394636164008,0.2728153122190996,0.6786985037634691
9,0.09233333333333334,0.17974341751155126,0.2430801102587628,0.20201404682800922,0.00018307352030289318,0.05662723690847213,0.035297978125817316,1.0486872317729201,1.1197950210466734,0.4535575154240215,0.22731226364098386
10,0.08733333333333333,0.18170516910147577,0.2687777415021136,0.21918196951786267,0.0022872342102177754,0.11688173511512126,0.030686475207268037,0.815563972518715,1.0410423092232257,0.6355527062185206,0.28508757211073976
11,0.09366666666666666,0.18872240396582068,0.35530039539334923,0.24883259943163702,0.0005897711951125188,0.096334120969701,0.04138903589080826,0.9397247869836107,1.0800893059502756,0.5696826803890525,0.2130268498113942
12,0.09233333333333334,0.23065317933566046,0.29944433539585397,0.19402296560164906,0.0008986329348573842,0.06960020574612127,0.05296586218201672,1.0178545298243058,1.0704466776174972,0.4103733882499858,0.360088502144079
13,0.0955,0.2094223801223337,0.29321591641312195,0.20454228518469866,0.002630050667950892,0.05021035452972732,0.06478857621569886,1.3130068771856116,1.2117042023076867,0.26155981698570274,0.2191520144351151
14,0.10216666666666667,0.2372235493946768,0.2846927567692445,0.22010447284861995,0.002328733456270811,0.04368072696850485,0.077987946605734,1.1612620267620501,1.2624659259831597,0.3542064725652176,0.16498243398208207
15,0.09216666666666666,0.20912297870863772,0.18075255244516983,0.2639365025021738,0.00944415559655649,0.06142383875678598,0.07045142965314753,1.062599915690113,0.9423885304539237,0.3792636561443754,0.330766257166879
16,0.0965,0.21860950664020562,0.2588443447567257,0.2260576230372022,0.0044581732896488875,0.030178566721429604,0.05682324845912391,1.2756787800326328,1.0725522117122146,0.21441980631653518,0.256958310359795
17,0.1005,0.21176762147987804,0.26023646137600415,0.23839186130175616,0.002259074757800401,0.07201039434332063,0.045009450616531145,1.0766409449695953,1.2300992392277474,0.3903848049299325,0.22940474930255808
18,0.10083333333333333,0.2543740222547313,0.2920089993305804,0.19680137563815597,0.0018068356739260783,0.04181790003741009,0.06338742462345422,1.2023896373551712,1.3318212424073383,0.34241551050476254,0.15251355050937107
19,0.09616666666666666,0.21549497834194,0.219404229449887,0.20675026634284221,0.0003987133266871676,0.02684901674805341,0.043726568308488915,1.0926163178652124,1.293118365587179,0.290209083787495,0.08558531415899116
20,0.08983333333333333,0.15347140739562637,0.3234543684652806,0.1838393677412306,0.0,0.10388009028797648,0.011578604173287203,0.6223719574833836,1.1315077530734408,0.7543427008919776,0.22662500809345018
